ts_iso,x,y,z
2025-09-26T09:29:14.875412,0.183,-0.488,0.0
2025-09-26T09:29:15.253707,0.0,-0.427,-0.061
2025-09-26T09:29:15.306571,-0.183,-0.305,-0.183
2025-09-26T09:29:15.353018,-0.122,-0.305,-0.061
2025-09-26T09:29:15.394301,-0.061,-0.366,-0.061
2025-09-26T09:29:15.441542,0.0,-0.366,-0.122
2025-09-26T09:29:15.487795,-0.061,-0.366,-0.122
2025-09-26T09:29:15.530035,0.183,-0.549,-0.122
2025-09-26T09:29:15.675004,344.849,-31.86,55.542
2025-09-26T09:29:15.727273,1.282,-0.427,-9.827
2025-09-26T09:29:15.778263,0.732,-0.977,0.183
2025-09-26T09:29:15.823749,0.122,-0.427,-0.183
2025-09-26T09:29:16.087739,0.122,-0.549,-0.061
2025-09-26T09:29:16.143302,0.122,-0.488,0.061
2025-09-26T09:29:16.187800,0.0,-0.488,-0.183
2025-09-26T09:29:16.235478,0.488,0.122,-7.202
2025-09-26T09:29:16.491774,-1.709,3.479,-7.202
2025-09-26T09:29:16.538271,3.845,3.113,-12.146
2025-09-26T09:29:16.588911,37.17,-18.433,-12.634
2025-09-26T09:29:16.631628,-20.813,-3.235,-1.465
2025-09-26T09:29:16.905068,-1.282,1.648,21.24
2025-09-26T09:29:16.946606,-1.831,-5.249,64.514
2025-09-26T09:29:16.993506,44.312,-10.254,52.124
2025-09-26T09:29:17.039169,58.411,-17.09,65.186
2025-09-26T09:29:17.330465,68.848,-11.719,131.104
2025-09-26T09:29:17.378774,-13.916,50.781,47.119
2025-09-26T09:29:17.438599,25.33,53.833,47.241
2025-09-26T09:29:17.484610,47.974,41.809,20.691
2025-09-26T09:29:17.886827,64.758,-18.494,-16.296
2025-09-26T09:29:17.931787,12.634,61.646,23.376
2025-09-26T09:29:17.977934,56.213,15.442,-51.453
2025-09-26T09:29:18.127435,-22.217,-20.325,-29.846
2025-09-26T09:29:18.172764,-80.261,26.489,30.09
2025-09-26T09:29:18.224580,-61.89,43.091,49.255
2025-09-26T09:29:18.269036,-40.833,-189.392,-126.526
