ts,x,y,z
2025-09-28T04:48:01.106000Z,-0.427,0.61,-0.366
2025-09-28T04:48:01.564000Z,-1.221,0.793,-0.244
2025-09-28T04:48:02.190000Z,-0.061,0.854,-0.366
2025-09-28T04:48:02.254000Z,0.854,1.038,-0.427
2025-09-28T04:48:02.698000Z,0.305,1.038,-0.427
2025-09-28T04:48:03.107000Z,-0.061,0.854,-0.366
2025-09-28T04:48:04.131000Z,0.793,1.221,-0.427
2025-09-28T04:48:04.183000Z,0.488,1.526,-0.366
2025-09-28T04:48:05.148000Z,-0.122,1.038,-0.427
2025-09-28T04:48:05.215000Z,1.282,1.587,-0.61
2025-09-28T04:48:05.962000Z,-0.183,0.916,-0.732
2025-09-28T04:48:06.406000Z,-1.038,1.221,-0.305
2025-09-28T04:48:06.847000Z,-1.16,0.488,-0.427
2025-09-28T04:48:07.424000Z,-0.977,0.366,-0.427
2025-09-28T04:48:07.886000Z,-1.892,1.099,-0.427
2025-09-28T04:48:08.277000Z,-0.916,0.061,-0.305
2025-09-28T04:48:08.835000Z,0.732,1.587,-0.427
2025-09-28T04:48:09.263000Z,-0.488,0.671,-0.305
2025-09-28T04:48:09.667000Z,-0.366,0.854,-0.244
2025-09-28T04:48:10.682000Z,0.916,1.526,-0.427
2025-09-28T04:48:10.738000Z,-0.244,1.282,-0.488
2025-09-28T04:48:11.750000Z,1.953,1.16,-0.549
2025-09-28T04:48:11.962000Z,0.0,0.671,-0.366
2025-09-28T04:48:12.726000Z,-0.488,0.977,-0.366
2025-09-28T04:48:12.774000Z,-0.916,0.183,-0.305
2025-09-28T04:48:13.565000Z,-0.244,0.854,-0.488
2025-09-28T04:48:13.965000Z,0.244,1.038,-0.366
2025-09-28T04:48:14.378000Z,-0.916,-0.122,-0.427
2025-09-28T04:48:14.780000Z,-0.305,0.854,-0.427
2025-09-28T04:48:15.605000Z,0.305,1.526,-0.366
2025-09-28T04:48:16.110000Z,1.038,1.404,-0.549
2025-09-28T04:48:16.667000Z,0.122,1.038,-0.366
2025-09-28T04:48:17.082000Z,-0.366,0.793,-0.366
2025-09-28T04:48:17.639000Z,0.366,1.16,-0.427
2025-09-28T04:48:18.054000Z,-0.549,0.854,-0.427
2025-09-28T04:48:18.517000Z,-0.122,0.61,-0.549
2025-09-28T04:48:19.087000Z,-1.282,0.549,-0.244
2025-09-28T04:48:19.504000Z,-0.427,0.977,-0.305
2025-09-28T04:48:19.955000Z,-0.244,0.977,-0.488
2025-09-28T04:48:20.600000Z,-1.77,0.183,-0.305
2025-09-28T04:48:21.126000Z,0.977,1.099,-0.488
2025-09-28T04:48:21.551000Z,-0.61,0.61,-0.427
2025-09-28T04:48:21.947000Z,-0.427,0.671,-0.366
2025-09-28T04:48:22.354000Z,-0.244,0.977,-0.366
2025-09-28T04:48:22.833000Z,-1.221,0.61,-0.305
2025-09-28T04:48:23.411000Z,0.0,1.221,-0.366
2025-09-28T04:48:24.123000Z,-1.709,0.427,-0.427
2025-09-28T04:48:24.606000Z,-0.793,0.305,-0.488
2025-09-28T04:48:25.077000Z,0.0,0.732,-0.366
2025-09-28T04:48:25.634000Z,0.305,0.671,-0.366
2025-09-28T04:48:26.086000Z,-0.183,0.977,-0.427
2025-09-28T04:48:26.514000Z,-0.122,0.854,-0.488
2025-09-28T04:48:27.065000Z,-0.793,0.854,-0.366
2025-09-28T04:48:27.480000Z,0.305,1.221,-0.366
2025-09-28T04:48:27.884000Z,-0.305,0.732,-0.366
2025-09-28T04:48:28.919000Z,-0.366,1.343,-0.366
2025-09-28T04:48:28.979000Z,-0.061,1.099,-0.427
2025-09-28T04:48:29.739000Z,-0.977,0.61,-0.488
2025-09-28T04:48:30.190000Z,-0.061,0.732,-0.366
2025-09-28T04:48:30.752000Z,-0.488,0.732,-0.366
2025-09-28T04:48:31.155000Z,-0.061,0.427,-0.488
2025-09-28T04:48:31.632000Z,1.526,2.014,-0.427
2025-09-28T04:48:32.191000Z,-0.916,0.732,-0.305
2025-09-28T04:48:32.615000Z,-0.549,0.427,-0.366
2025-09-28T04:48:33.012000Z,0.488,1.099,-0.366
2025-09-28T04:48:33.433000Z,-0.732,0.732,-0.366
2025-09-28T04:48:34.442000Z,0.061,0.854,-0.366
2025-09-28T04:48:34.500000Z,0.549,1.038,-0.427
2025-09-28T04:48:35.261000Z,-0.183,0.916,-0.427
2025-09-28T04:48:35.665000Z,-0.122,1.343,-0.488
2025-09-28T04:48:36.074000Z,-0.671,0.488,-0.488
2025-09-28T04:48:36.481000Z,-0.366,0.854,-0.366
2025-09-28T04:48:37.317000Z,0.549,1.404,-0.488
2025-09-28T04:48:37.716000Z,0.061,0.977,-0.305
2025-09-28T04:48:38.126000Z,-0.549,0.549,-0.427
2025-09-28T04:48:38.544000Z,0.061,0.854,-0.427
2025-09-28T04:48:38.953000Z,0.793,1.16,-0.488
2025-09-28T04:48:39.988000Z,-0.244,0.122,-0.488
2025-09-28T04:48:40.053000Z,-0.854,0.854,-0.549
2025-09-28T04:48:40.992000Z,-0.061,0.793,-0.427
2025-09-28T04:48:41.054000Z,-0.366,0.977,-0.427
2025-09-28T04:48:41.804000Z,-1.221,0.061,-0.427
2025-09-28T04:48:42.231000Z,-0.183,1.404,-0.427
2025-09-28T04:48:42.634000Z,-0.488,0.732,-0.366
2025-09-28T04:48:43.052000Z,-0.671,0.732,-0.427
2025-09-28T04:48:43.864000Z,-0.549,0.854,-0.366
2025-09-28T04:48:44.272000Z,-0.244,1.099,-0.427
2025-09-28T04:48:44.684000Z,-0.732,0.671,-0.427
2025-09-28T04:48:45.103000Z,-0.488,0.916,-0.366
2025-09-28T04:48:45.505000Z,0.0,0.183,-0.427
2025-09-28T04:48:46.543000Z,-0.61,0.793,-0.427
2025-09-28T04:48:46.597000Z,0.244,1.282,-0.427
2025-09-28T04:48:47.531000Z,-0.244,0.916,-0.488
2025-09-28T04:48:47.593000Z,0.671,1.221,-0.427
2025-09-28T04:48:48.567000Z,-0.549,1.343,-0.427
2025-09-28T04:48:48.626000Z,-0.488,0.977,-0.427
2025-09-28T04:48:49.595000Z,0.61,1.038,-0.427
2025-09-28T04:48:49.688000Z,-1.099,0.671,-0.427
2025-09-28T04:48:50.414000Z,-0.183,0.671,-0.366
2025-09-28T04:48:50.833000Z,0.061,1.099,-0.366
2025-09-28T04:48:51.242000Z,-0.488,0.732,-0.366
2025-09-28T04:48:51.666000Z,-0.244,0.854,-0.427
2025-09-28T04:48:52.049000Z,0.183,0.977,-0.366
2025-09-28T04:48:53.086000Z,0.0,1.587,-0.305
2025-09-28T04:48:53.136000Z,-0.916,0.916,-0.488
2025-09-28T04:48:54.112000Z,-0.671,0.854,-0.366
2025-09-28T04:48:54.152000Z,-1.831,-1.038,-0.122
2025-09-28T04:48:55.138000Z,1.343,2.258,-0.122
2025-09-28T04:48:55.196000Z,-0.122,4.761,0.427
2025-09-28T04:48:55.936000Z,10.681,4.028,-0.732
2025-09-28T04:48:56.357000Z,0.427,1.587,0.366
2025-09-28T04:48:56.766000Z,0.671,0.732,-0.183
2025-09-28T04:48:57.178000Z,0.122,0.854,-0.427
2025-09-28T04:48:57.986000Z,-1.831,0.366,-0.366
2025-09-28T04:48:58.402000Z,-1.099,-0.061,-0.305
2025-09-28T04:48:58.821000Z,1.404,1.282,-0.366
2025-09-28T04:48:59.212000Z,0.244,0.854,-0.366
2025-09-28T04:49:00.034000Z,-0.793,0.977,-0.427
2025-09-28T04:49:00.455000Z,0.0,2.014,-0.305
2025-09-28T04:49:01.070000Z,-0.61,0.549,-0.366
2025-09-28T04:49:01.469000Z,-0.366,0.732,-0.366
2025-09-28T04:49:01.874000Z,-0.977,0.977,-0.183
2025-09-28T04:49:02.300000Z,-0.977,0.732,-0.366
2025-09-28T04:49:02.696000Z,-1.221,1.16,-0.366
2025-09-28T04:49:03.714000Z,-0.854,0.793,-0.366
2025-09-28T04:49:03.777000Z,-1.16,1.221,-0.305
2025-09-28T04:49:04.763000Z,1.709,1.16,-0.61
