sample,timestamp,gyro_x,gyro_y,gyro_z
19500,2025-09-16T15:06:09.418,-0.37,0.85,-0.49
19501,2025-09-16T15:06:09.428,-0.37,0.79,-0.49
19502,2025-09-16T15:06:09.439,-0.49,0.85,-0.49
19503,2025-09-16T15:06:09.448,-0.49,0.79,-0.49
19504,2025-09-16T15:06:09.458,-0.43,0.79,-0.43
19505,2025-09-16T15:06:09.467,-0.37,0.79,-0.37
19506,2025-09-16T15:06:09.477,-0.37,0.85,-0.37
19507,2025-09-16T15:06:09.487,-0.31,0.79,-0.31
19508,2025-09-16T15:06:09.497,-0.31,0.73,-0.31
19509,2025-09-16T15:06:09.507,-0.24,0.73,-0.24
19510,2025-09-16T15:06:09.517,-0.24,0.73,-0.24
19511,2025-09-16T15:06:09.527,-0.24,0.73,-0.24
19512,2025-09-16T15:06:09.537,-0.24,0.73,-0.31
19513,2025-09-16T15:06:09.546,-0.24,0.73,-0.37
19514,2025-09-16T15:06:09.556,-0.31,0.79,-0.37
19515,2025-09-16T15:06:09.566,-0.37,0.73,-0.43
19516,2025-09-16T15:06:09.576,-0.31,0.79,-0.49
19517,2025-09-16T15:06:09.585,-0.43,0.85,-0.49
19518,2025-09-16T15:06:09.596,-0.49,0.79,-0.49
19519,2025-09-16T15:06:09.605,-0.43,0.79,-0.55
19520,2025-09-16T15:06:09.615,-0.43,0.85,-0.49
19521,2025-09-16T15:06:09.624,-0.43,0.79,-0.43
19522,2025-09-16T15:06:09.634,-0.43,0.79,-0.43
19523,2025-09-16T15:06:09.644,-0.37,0.85,-0.37
19524,2025-09-16T15:06:09.654,-0.31,0.85,-0.37
19525,2025-09-16T15:06:09.663,-0.31,0.79,-0.31
19526,2025-09-16T15:06:09.673,-0.24,0.79,-0.24
19527,2025-09-16T15:06:09.683,-0.24,0.73,-0.24
19528,2025-09-16T15:06:09.693,-0.18,0.73,-0.24
19529,2025-09-16T15:06:09.702,-0.24,0.73,-0.24
19530,2025-09-16T15:06:09.712,-0.24,0.73,-0.24
